Gulliver's Travels [2010];Adventure/
The Cars That Ate Paris [1974];Comedy/Comedy Horror/
The Cat and the Canary [1927];Comedy/Comedy Horror/
The Cat and the Canary [1939];Comedy/Comedy Horror/
The Comedy of Terrors [1963];Comedy/Comedy Horror/
The Cottage [2008];Comedy/Comedy Horror/
The Evil Dead [1981];Comedy/Comedy Horror/
The Fearless Vampire Killers [1967];Comedy/Comedy Horror/
The Ghost Breakers [1940];Comedy/Comedy Horror/
The Gingerdead Man [2005];Comedy/Comedy Horror/
The Happiness of the Katakuris [2001];Comedy/Comedy Horror/
The Haunted House [1921];Comedy/Comedy Horror/
The Haunted Mansion [2003];Comedy/Comedy Horror/
The Horribly Slow Murderer with the Extremely Inefficient Weapon [2008];Comedy/Comedy Horror/
The Little Shop of Horrors [1960];Comedy/Comedy Horror/
The Mad [2007];Comedy/Comedy Horror/
The Old Dark House [1932];Comedy/Comedy Horror/
The Old Dark House [1963];Comedy/Comedy Horror/
The Raven [1963];Comedy/Comedy Horror/
The Return of the Living Dead [1985];Comedy/Comedy Horror/
The Return of the Texas Chainsaw Massacre [1994];Comedy/Comedy Horror/
The Revenant [2009];Comedy/Comedy Horror/
The Rocky Horror Picture Show [1975];Comedy/Comedy Horror/
The Stuff [1985];Comedy/Comedy Horror/
The Toxic Avenger [1984];Comedy/Comedy Horror/
