Judge Dredd [1995];[Action]
Lucas [1986];[Teen Movies]
Making the Grade [1984];[Teen Movies]
Mallrats [1995];[Teen Movies]
Mean Girls 2 [2011];[Teen Movies]
Mirror Mirror [1990];[Teen Movies]
Mischief [1985];[Teen Movies]
Modern Girls [1986];[Teen Movies]
Monte Carlo [2011];[Teen Movies]
My Bodyguard [1980];[Teen Movies]
My Own Private Idaho [1991];[Teen Movies]
My Science Project [1985];[Teen Movies]
Never Been Kissed [1999];[Teen Movies]
New York Minute [2004];[Teen Movies]
Nick and Norah's Infinite Playlist [2008];[Teen Movies]
Now and Then [1995];[Teen Movies]
Nowhere [1997];[Teen Movies]
One Crazy Summer [1986];[Teen Movies]
