Gulliver's Travels [2010];[Adventure]
Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Hellbound, Flesh-Eating Subhumanoid Zombified Living Dead, Part 2: In Shocking 2-D [1991];[Comedy]/[Comedy Horror]/
Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Hellbound, Flesh-Eating Subhumanoid Zombified Living Dead, Part 3 [2005];[Comedy]/[Comedy Horror]/
Once Bitten [1985];[Comedy]/[Comedy Horror]/
Otesánek [2000];[Comedy]/[Comedy Horror]/
Out of the Dark [1989];[Comedy]/[Comedy Horror]/
Pandemonium [1982];[Comedy]/[Comedy Horror]/
Pervert! [2005];[Comedy]/[Comedy Horror]/
Piranha [1978];[Comedy]/[Comedy Horror]/
Piranha [2010];[Comedy]/[Comedy Horror]/
Piranha 3D [2010];[Comedy]/[Comedy Horror]/
Please Don't Eat My Mother [1973];[Comedy]/[Comedy Horror]/
Pop weed sayong [2001];[Comedy]/[Comedy Horror]/
Pot Zombies [2005];[Comedy]/[Comedy Horror]/
Poultrygeist: Night of the Chicken Dead [2006];[Comedy]/[Comedy Horror]/
Private Parts [1972];[Comedy]/[Comedy Horror]/
Psycho Beach Party [2000];[Comedy]/[Comedy Horror]/
Psychos in Love [1987];[Comedy]/[Comedy Horror]/
Rare Exports [2010];[Comedy]/[Comedy Horror]/
Redneck Zombies [1987];[Comedy]/[Comedy Horror]/
Return of the Living Dead Part II [1988];[Comedy]/[Comedy Horror]/
Return of the Living Dead: Rave to the Grave [2005];[Comedy]/[Comedy Horror]/
Rubber [2010];[Comedy]/[Comedy Horror]/
Santa's Slay [2005];[Comedy]/[Comedy Horror]/
Sars Wars: Bangkok Zombie Crisis [2004];[Comedy]/[Comedy Horror]/
Scared Stiff [1953];[Comedy]/[Comedy Horror]/
Scream 2 [1997];[Comedy]/[Comedy Horror]/
Scream 3 [2000];[Comedy]/[Comedy Horror]/
Seed of Chucky [2004];[Comedy]/[Comedy Horror]/
Severance [2006];[Comedy]/[Comedy Horror]/
Shock Treatment [1981];[Comedy]/[Comedy Horror]/
Sisily 2km [2004];[Comedy]/[Comedy Horror]/
Slaughter High [1986];[Comedy]/[Comedy Horror]/
Slither [2006];[Comedy]/[Comedy Horror]/
Society [1989];[Comedy]/[Comedy Horror]/
Spider Baby or, The Maddest Story Ever Told [1968];[Comedy]/[Comedy Horror]/
Spook Busters [1946];[Comedy]/[Comedy Horror]/
Spooks Run Wild [1941];[Comedy]/[Comedy Horror]/
Street Trash [1987];[Comedy]/[Comedy Horror]/
Stupid Teenagers Must Die [2006];[Comedy]/[Comedy Horror]/
Sun faa sau si [1998];[Comedy]/[Comedy Horror]/
Surf II [1984];[Comedy]/[Comedy Horror]/
Tales from the Darkside: The Movie [1990];[Comedy]/[Comedy Horror]/
Teeth [2007];[Comedy]/[Comedy Horror]/
Terror Firmer [1999];[Comedy]/[Comedy Horror]/
Terror Toons [2002];[Comedy]/[Comedy Horror]/
Terror Toons 2 [2007];[Comedy]/[Comedy Horror]/
TerrorVision [1986];[Comedy]/[Comedy Horror]/
Texas Chainsaw Massacre - The Next Generation [1994];[Comedy]/[Comedy Horror]/
The 'Burbs [1989];[Comedy]/[Comedy Horror]/
The Bat [1926];[Comedy]/[Comedy Horror]/
The Cabin in the Woods [2011];[Comedy]/[Comedy Horror]/
The Cars That Ate Paris [1974];[Comedy]/[Comedy Horror]/
The Cat and the Canary [1927];[Comedy]/[Comedy Horror]/
The Cat and the Canary [1939];[Comedy]/[Comedy Horror]/
The Comedy of Terrors [1963];[Comedy]/[Comedy Horror]/
The Cottage [2008];[Comedy]/[Comedy Horror]/
The Day of the Beast [1995];[Comedy]/[Comedy Horror]/
The Evil Dead [1981];[Comedy]/[Comedy Horror]/
The Fearless Vampire Killers [1967];[Comedy]/[Comedy Horror]/
The Ghost Breakers [1940];[Comedy]/[Comedy Horror]/
The Happiness of the Katakuris [2001];[Comedy]/[Comedy Horror]/
The Haunted House [1921];[Comedy]/[Comedy Horror]/
The Horribly Slow Murderer with the Extremely Inefficient Weapon [2008];[Comedy]/[Comedy Horror]/
The Little Shop of Horrors [1960];[Comedy]/[Comedy Horror]/
The Mad [2007];[Comedy]/[Comedy Horror]/
The Old Dark House [1932];[Comedy]/[Comedy Horror]/
The Old Dark House [1963];[Comedy]/[Comedy Horror]/
The Quiet Family [1998];[Comedy]/[Comedy Horror]/
The Raven [1963];[Comedy]/[Comedy Horror]/
The Return of the Living Dead [1985];[Comedy]/[Comedy Horror]/
The Revenant [2009];[Comedy]/[Comedy Horror]/
The Stuff [1985];[Comedy]/[Comedy Horror]/
The Toxic Avenger [1984];[Comedy Horror]/
The Toxic Avenger Part III: The Last Temptation of Toxie [1989];[Comedy Horror]/
The Toxic Avenger, Part II [1989];[Comedy Horror]/
The Vagrant [1992];[Comedy]/[Comedy Horror]/
They Live [1988];[Comedy]/[Comedy Horror]/
Thursday the 12th [1982];[Comedy]/[Comedy Horror]/
To Catch A Virgin Ghost [2004];[Comedy]/[Comedy Horror]/
Tormented [2009];[Comedy]/[Comedy Horror]/
Trailer Park of Terror [2008];[Comedy]/[Comedy Horror]/
Tremors [1990];[Comedy]/[Comedy Horror]/
Tremors 3: Back to Perfection [2001];[Comedy]/[Comedy Horror]/
